categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori_split
Scarpe Sportive,40.0,uomo,NEW BALANCE,DYNASOFT NITREL V6 - Scarpe da corsa su strada - marmalade,99.99,99.99,https://www.zalando.it/new-balance-dynasoft-nitrel-v6-scarpe-da-trail-running-marmalade-ne242a0o7-e11.html?size=40,DYNASOFT NITREL V6,scarpe da corsa su strada,marmalade
Scarpe Sportive,40.0,uomo,PUMA,FAST-TRAC NITRO 3 - Scarpe da trail running - feather gray/glowing red/pure magenta,129.99,129.99,https://www.zalando.it/puma-fast-trac-nitro-3-scarpe-da-trail-running-feather-grayglowing-redpure-magenta-pu142a1xn-a11.html?size=40,FAST trac nitro 3,scarpe da trail running,feather gray/glowing red/pure magenta
Scarpe Sportive,40.0,uomo,UNDER ARMOUR,CHARGED BANDIT TR 3 - Scarpe da trail running - black/castlerock/white,99.99,99.99,https://www.zalando.it/under-armour-charged-bandit-tr-3-scarpe-da-trail-running-blackcastlerockwhite-un242a0mi-q12.html?size=40,CHARGED BANDIT TR 3,scarpe da trail running,black/castlerock/white
Scarpe Sportive,40.0,uomo,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - white/dark myrtle/gold,48.99,64.99,https://www.zalando.it/puma-caven-20-unisex-sneakers-basse-whitedark-myrtlegold-pu115o0nn-a17.html?size=40,CAVEN 2.0 UNISEX,scarpe da basket,white/dark myrtle/gold
Scarpe Sportive,40.0,uomo,PUMA,SOFTRIDE ENZO 5  - Scarpe da allenamento - loden green yellow alert,44.95,75.0,https://www.zalando.it/puma-softride-enzo-5-scarpe-da-allenamento-loden-green-yellow-alert-pu144a0cn-m11.html?size=40,SOFTRIDE ENZO 5,scarpe da allenamento,loden green yellow alert
Scarpe Sportive,40.0,uomo,ASICS,GEL-CONTEND 9 - Scarpe da corsa su strada - blue expanse/digital aqua,69.99,69.99,https://www.zalando.it/asics-gel-contend-9-scarpe-running-neutre-blue-expansedigital-aqua-as142a162-k11.html?size=40,GEL contend 9,scarpe da corsa su strada,blue expanse/digital aqua
Scarpe Sportive,40.0,uomo,PUMA,ELIMINATE NITRO SQD - Scarpe da pallamano - parisian night/white/glowing red/dark crimson,135.99,159.99,https://www.zalando.it/puma-eliminate-nitro-sqd-scarpe-da-pallamano-parisian-nightwhiteglowing-reddark-crimson-pu142a1xf-k11.html?size=40,ELIMINATE NITRO SQD,scarpe da pallamano,parisian night/white/glowing red/dark crimson
Scarpe Sportive,40.0,uomo,PUMA,PWR NITRO SQD2 - Scarpe da corsa su strada - black lapis lazuli white,70.95,130.0,https://www.zalando.it/puma-nitro-scarpe-running-neutre-black-lapis-lazuli-white-pu144a0c2-q12.html?size=40,PWR NITRO SQD2,scarpe da corsa su strada,black lapis lazuli white
Scarpe Sportive,40.0,uomo,ASICS,NOOSA TRI 16 - Scarpe da corsa su strada - huddle yellow/illusion blue,149.99,149.99,https://www.zalando.it/asics-noosa-tri-16-scarpe-da-corsa-su-strada-huddle-yellowillusion-blue-as142a165-e12.html?size=40,NOOSA TRI 16,scarpe da corsa su strada,huddle yellow/illusion blue
Scarpe Sportive,40.0,uomo,NEW BALANCE,FURON PRO FG V8 - Scarpe da calcetto con tacchetti - white red,150.0,150.0,https://www.zalando.it/new-balance-furon-pro-scarpe-da-calcetto-con-tacchetti-white-red-ne244a01f-a11.html?size=40,FURON PRO FG V8,scarpe da calcetto con tacchetti,white red
Scarpe Sportive,40.0,uomo,ASICS,GEL CHALLENGER - da tennis per terra battuta - white/saxon green,101.99,119.99,https://www.zalando.it/asics-gel-challenger-da-tennis-per-terra-battuta-white-saxon-green-as142a10e-a12.html?size=40,GEL CHALLENGER,da tennis per terra battuta,white/saxon green
Scarpe Sportive,40.0,uomo,PUMA,ULTRA 5 MATCH - Scarpe da calcetto con tacchetti - white/black/glowing red,50.99,84.99,https://www.zalando.it/puma-ultra-5-match-fgag-scarpe-da-calcetto-con-tacchetti-whiteblackglowing-red-pu142a1wx-a11.html?size=40,ULTRA 5 MATCH,scarpe da calcetto con tacchetti,white/black/glowing red
Scarpe Sportive,40.0,uomo,NEW BALANCE,FURON PRO FG V7 - Scarpe da calcetto con tacchetti - white yellow,161.0,230.0,https://www.zalando.it/new-balance-sneakers-basse-white-yellow-ne244a00z-a11.html?size=40,FURON PRO FG V7,scarpe da calcetto con tacchetti,white yellow
Scarpe Sportive,40.0,uomo,NEW BALANCE,FUELCELL PROPEL V5 - Sneakers basse - black black,129.99,129.99,https://www.zalando.it/new-balance-fuelcell-propel-v5-scarpe-da-corsa-stabili-black-black-ne242a0na-q13.html?size=40,FUELCELL PROPEL V5,sneakers basse,black black
Scarpe Sportive,40.0,uomo,PUMA,FUTURE 8 MATCH  - Scarpe da calcetto con tacchetti - black/silver/fluo green,56.99,94.99,https://www.zalando.it/puma-future-8-match-fgag-scarpe-da-calcetto-con-tacchetti-blacksilverfluo-green-pu142a1wu-q12.html?size=40,FUTURE 8 MATCH,scarpe da calcetto con tacchetti,black/silver/fluo green
Scarpe Sportive,40.0,uomo,PUMA,FUTURE 8 MATCH  - Scarpe da calcetto con tacchetti - black/white/glowing red,56.99,94.99,https://www.zalando.it/puma-future-8-match-fgag-scarpe-da-calcetto-con-tacchetti-blackwhiteglowing-red-pu142a1wu-q11.html?size=40,FUTURE 8 MATCH,scarpe da calcetto con tacchetti,black/white/glowing red
Scarpe Sportive,40.0,uomo,UNDER ARMOUR,CURRY SPLASH - Scarpe da basket - black/gray void/white,109.99,109.99,https://www.zalando.it/under-armour-curry-splash-scarpe-da-basket-blackgray-voidwhite-un242a0nl-q11.html?size=40,CURRY SPLASH,scarpe da basket,black/gray void/white
Scarpe Sportive,40.0,uomo,PUMA,ELIMINATE TURBO - Scarpe da pallamano - parisian night/white/glowing red,95.99,119.99,https://www.zalando.it/puma-eliminate-turbo-scarpe-da-pallamano-parisian-nightwhiteglowing-red-pu142a1xd-k11.html?size=40,ELIMINATE TURBO,scarpe da pallamano,parisian night/white/glowing red
Scarpe Sportive,40.0,uomo,PUMA,NOVA ELITE - Scarpe da padel - white/black/vivid blue/heat fire,129.99,129.99,https://www.zalando.it/puma-nova-elite-scarpe-da-padel-whiteblackvivid-blueheat-fire-pu142a1x8-a11.html?size=40,NOVA ELITE,scarpe da padel,white/black/vivid blue/heat fire
